Designator,Footprint,Quantity,Value,LCSC Part #
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
J1,TubeSocket_P8A,1,P8A Socket,
"J2, J3",ScrewTerminal_JL635_4,2,ScrewTerminal,
